                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2445,                  3.558,                 2.1885,                 0.2632,                0.11196,                0.05082,                  0.017,                 2.5816,                 5.1355,                 2.6084,              0.0003636,              0.0003636,              0.0003636
                      2,                 2.1453,                 3.0378,                 2.1612,                0.32067,                0.08158,                0.03604,                0.01023,                  2.553,                 6.8553,                 2.9665,              0.0007303,              0.0007303,              0.0007303
                      3,                   2.15,                 2.9828,                 2.1863,                0.04566,                0.17112,                0.02408,                0.00826,                  2.679,                  24.53,                 2.8565,              0.0010933,              0.0010933,              0.0010933
                      4,                 2.1542,                 2.9437,                 2.1832,                0.06434,                0.08887,                0.02938,                 0.0084,                 2.6715,                  3.716,                 2.8844,              0.0010945,              0.0010945,              0.0010945
                      5,                 2.1071,                 2.8719,                 2.1581,                0.51654,                0.13027,                0.09782,                 0.0318,                 2.6052,                 3.5794,                 2.9201,               0.001089,               0.001089,               0.001089
                      6,                 2.0738,                 2.8072,                 2.1638,                0.06573,                0.14768,                 0.0422,                 0.0139,                 2.5631,                 3.7662,                 2.7462,              0.0010835,              0.0010835,              0.0010835
                      7,                 2.0497,                 2.7371,                 2.1393,                0.09534,                0.15197,                0.06167,                0.02475,                 2.5456,                  3.827,                 2.6774,               0.001078,               0.001078,               0.001078
                      8,                 1.9832,                 2.5776,                 2.0664,                0.21825,                0.12784,                0.10864,                0.04115,                 2.3499,                 3.4484,                   2.53,              0.0010725,              0.0010725,              0.0010725
                      9,                  1.979,                 2.5619,                 2.0731,                0.11191,                0.16242,                0.07203,                0.02016,                 2.4789,                 3.9635,                 2.7157,               0.001067,               0.001067,               0.001067
                     10,                 1.9332,                 2.4693,                  2.057,                0.14684,                0.20194,                0.13008,                0.04666,                 2.4491,                 3.6353,                 2.6609,              0.0010615,              0.0010615,              0.0010615
                     11,                 1.9204,                 2.4329,                 2.0253,                0.19051,                0.16651,                0.12303,                0.04632,                 2.3768,                 3.2644,                 2.5084,               0.001056,               0.001056,               0.001056
