                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2445,                  3.558,                 2.1885,                 0.2632,                0.11196,                0.05082,                  0.017,                 2.5816,                 5.1355,                 2.6084,              0.0003636,              0.0003636,              0.0003636
                      2,                 2.1405,                 3.0356,                 2.1552,                 0.3807,                0.08787,                0.03762,                0.01331,                 2.6291,                 5.0993,                 2.9701,             0.00073212,             0.00073212,             0.00073212
                      3,                  2.159,                 2.9657,                  2.174,                0.04151,                0.14686,                0.02933,                0.00695,                  2.794,                 4.8753,                 2.9785,              0.0010988,              0.0010988,              0.0010988
                      4,                 2.1244,                  2.923,                 2.1855,                0.10791,                0.22556,                 0.0577,                0.01923,                 2.5629,                 4.1443,                 2.6917,              0.0011028,              0.0011028,              0.0011028
                      5,                 2.1121,                 2.8416,                  2.177,                0.34381,                0.09256,                0.07671,                0.02663,                 2.4318,                 3.8282,                 2.6628,                 0.0011,                 0.0011,                 0.0011
                      6,                 2.0775,                 2.7695,                 2.1564,                0.10037,                0.16024,                0.06502,                0.02211,                 2.7478,                 3.8779,                  2.828,              0.0010973,              0.0010973,              0.0010973
                      7,                 2.0456,                 2.7122,                 2.1627,                0.20882,                0.10505,                0.10383,                0.03622,                 2.4975,                 3.7622,                   2.79,              0.0010945,              0.0010945,              0.0010945
                      8,                 1.9949,                 2.5912,                 2.0928,                0.09236,                0.20387,                0.08394,                0.03419,                 2.4016,                 3.7972,                 2.5546,              0.0010918,              0.0010918,              0.0010918
                      9,                 1.9626,                 2.5619,                 2.0568,                0.21638,                0.17582,                0.12207,                0.04517,                 2.4989,                 3.1101,                 2.6638,               0.001089,               0.001089,               0.001089
                     10,                 1.9142,                  2.451,                 2.0377,                0.17036,                0.17789,                0.10801,                0.04221,                 2.4333,                 3.6939,                 2.5734,              0.0010863,              0.0010863,              0.0010863
                     11,                 1.9241,                 2.4299,                 2.0295,                0.10898,                0.20012,                0.11414,                0.03964,                 2.4435,                  3.144,                 2.5987,              0.0010835,              0.0010835,              0.0010835
                     12,                 1.8689,                 2.3792,                 1.9847,                0.24705,                0.15346,                 0.1327,                0.04854,                 2.3633,                 3.5623,                 2.5799,              0.0010808,              0.0010808,              0.0010808
                     13,                  1.873,                 2.3292,                 1.9954,                0.15168,                0.15254,                0.08268,                0.02563,                 2.6213,                 3.5288,                 2.7985,               0.001078,               0.001078,               0.001078
                     14,                 1.8327,                 2.2335,                 1.9499,                0.25617,                0.14562,                0.11022,                 0.0339,                 2.5157,                 3.2602,                 2.6368,              0.0010753,              0.0010753,              0.0010753
                     15,                 1.8264,                 2.1909,                 1.9456,                0.21409,                0.24682,                0.16572,                0.07091,                 2.4636,                 3.1288,                 2.5685,              0.0010725,              0.0010725,              0.0010725
