                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  1.218,                 1.2026,                 1.4041,                 0.0576,                0.13044,                0.04191,                0.01052,                  2.841,                 3.9999,                 3.0605,             0.00096581,             0.00096581,             0.00096581
                     35,                 1.1934,                 1.1951,                 1.4026,                 0.0393,                0.08588,                0.03685,                0.00853,                 3.1857,                 4.0629,                  3.529,             0.00096141,             0.00096141,             0.00096141
                     36,                 1.1864,                 1.1697,                 1.3739,                0.05035,                0.07169,                0.03007,                0.00652,                 3.1369,                 3.9689,                 3.4026,             0.00095702,             0.00095702,             0.00095702
                     37,                 1.1419,                 1.0622,                 1.3427,                0.12147,                 0.1115,                0.05331,                0.01356,                 2.9187,                 4.1397,                 3.0206,             0.00095262,             0.00095262,             0.00095262
                     38,                 1.1452,                 1.0854,                 1.3433,                0.07288,                0.04455,                0.02501,                0.00711,                  2.963,                 3.9394,                 3.2015,             0.00094822,             0.00094822,             0.00094822
                     39,                 1.1281,                 1.0652,                 1.3301,                0.19974,                0.08617,                0.04805,                0.00968,                 2.9221,                 4.2213,                 3.2307,             0.00094382,             0.00094382,             0.00094382
                     40,                 1.1201,                 1.0419,                 1.3254,                0.17802,                0.06197,                0.04017,                0.01236,                 3.0711,                 3.9373,                 3.1636,             0.00093942,             0.00093942,             0.00093942
                     41,                 1.1238,                 1.0527,                 1.3308,                0.04552,                0.09721,                0.02151,                0.00619,                  2.886,                 3.9038,                 3.1956,             0.00093502,             0.00093502,             0.00093502
                     42,                 1.1057,                 1.0154,                 1.3131,                0.05668,                0.09865,                0.01939,                 0.0053,                 2.9173,                 4.1806,                 3.3277,             0.00093062,             0.00093062,             0.00093062
                     43,                 1.1139,                 1.0294,                 1.3133,                0.08253,                0.02213,                0.02127,                0.00618,                 3.1931,                  4.515,                 3.5429,             0.00092622,             0.00092622,             0.00092622
                     44,                 1.1018,                0.99838,                 1.3085,                0.10123,                0.07547,                0.06274,                0.02486,                 3.1033,                 4.4451,                 3.2471,             0.00092182,             0.00092182,             0.00092182
                     45,                 1.0817,                0.99745,                  1.289,                0.06551,                0.06649,                0.02809,                0.01269,                 3.2676,                 3.8227,                 3.5288,             0.00091742,             0.00091742,             0.00091742
                     46,                 1.0752,                   1.01,                 1.2875,                0.11178,                0.07623,                0.02494,                0.00486,                 3.1991,                 4.0523,                 3.3801,             0.00091302,             0.00091302,             0.00091302
                     47,                  1.074,                0.96914,                 1.2782,                0.06338,                0.05524,                0.01932,                 0.0053,                  3.219,                 4.3322,                 3.2477,             0.00090862,             0.00090862,             0.00090862
                     48,                 1.0936,                 1.0024,                 1.2942,                0.03178,                0.05836,                0.02551,                0.00705,                 3.1493,                 4.3075,                 3.3306,             0.00090422,             0.00090422,             0.00090422
                     49,                 1.0443,                0.92944,                 1.2593,                0.09983,                0.04995,                0.03306,                0.01179,                 3.1888,                 4.0144,                 3.3415,             0.00089982,             0.00089982,             0.00089982
                     50,                 1.0645,                0.96391,                 1.2792,                0.10814,                0.04086,                0.03535,                0.01493,                 3.1242,                 4.6452,                 3.2856,             0.00089542,             0.00089542,             0.00089542
                     51,                 1.0717,                0.97488,                 1.2758,                0.29217,                0.09902,                0.09752,                0.03869,                 3.1558,                 4.0845,                 3.2914,             0.00089102,             0.00089102,             0.00089102
                     52,                 1.0616,                0.96824,                 1.2753,                0.12639,                0.08117,                0.06699,                 0.0278,                 3.1023,                 3.7997,                 3.2841,             0.00088662,             0.00088662,             0.00088662
                     53,                 1.0083,                0.89414,                 1.2304,                0.27718,                0.07188,                0.05609,                0.02145,                 3.0862,                 4.6654,                 3.1595,             0.00088222,             0.00088222,             0.00088222
                     54,                 1.0002,                0.87178,                 1.2369,                0.08342,                 0.0491,                0.04614,                0.02574,                 3.0455,                 4.1197,                 3.2862,             0.00087782,             0.00087782,             0.00087782
                     55,                 1.0014,                0.87836,                  1.226,                0.40205,                 0.0474,                0.04212,                0.01194,                 3.1572,                 3.8746,                 3.0896,             0.00087342,             0.00087342,             0.00087342
                     56,                 1.0286,                0.90155,                 1.2345,                0.10157,                0.08123,                0.04119,                 0.0074,                 3.3098,                 4.3061,                 3.2465,             0.00086902,             0.00086902,             0.00086902
                     57,                0.99328,                0.86722,                  1.218,                 0.1359,                 0.0596,                0.04152,                  0.009,                 3.0617,                 4.4183,                 3.0086,             0.00086462,             0.00086462,             0.00086462
                     58,                0.99593,                0.86079,                 1.2232,                0.15493,                0.06231,                0.04797,                0.01544,                 3.1829,                 4.3437,                 3.2322,             0.00086023,             0.00086023,             0.00086023
                     59,                 0.9885,                0.83894,                 1.2097,                0.13857,                0.06299,                0.05526,                0.02499,                 3.1472,                 4.3254,                 3.1365,             0.00085583,             0.00085583,             0.00085583
                     60,                0.96163,                0.84273,                 1.2014,                0.10091,                0.10196,                0.02926,                0.00849,                 3.2512,                 4.8877,                 3.4623,             0.00085143,             0.00085143,             0.00085143
                     61,                0.98105,                0.83292,                 1.2172,                0.12998,                0.08637,                0.04263,                0.01231,                 3.3148,                 4.4158,                 3.5804,             0.00084703,             0.00084703,             0.00084703
                     62,                0.95139,                0.81165,                 1.1815,                0.09421,                0.06254,                0.03024,                0.01121,                 2.9087,                  4.902,                 3.0576,             0.00084263,             0.00084263,             0.00084263
                     63,                0.94057,                0.79274,                 1.1738,                0.05812,                0.07112,                0.03686,                0.01064,                 3.0866,                 4.7255,                 3.1193,             0.00083823,             0.00083823,             0.00083823
                     64,                0.95659,                0.81142,                 1.1967,                0.07728,                0.06375,                0.04456,                0.00983,                 3.0199,                 4.4437,                 3.1901,             0.00083383,             0.00083383,             0.00083383
                     65,                0.98045,                0.82982,                 1.2013,                 0.0679,                0.06195,                0.02247,                0.00574,                 3.3018,                 4.5595,                 3.4788,             0.00082943,             0.00082943,             0.00082943
                     66,                0.96444,                0.82712,                   1.21,                0.15837,                0.06319,                0.04504,                0.00987,                 3.2164,                 4.2873,                 3.1834,             0.00082503,             0.00082503,             0.00082503
                     67,                0.92491,                0.77694,                 1.1747,                0.08524,                0.07123,                0.05646,                 0.0154,                 3.0715,                 4.8012,                 3.1252,             0.00082063,             0.00082063,             0.00082063
                     68,                0.95816,                0.80105,                 1.1882,                0.21009,                0.06234,                0.04357,                0.00801,                 3.2262,                 4.5844,                 3.4901,             0.00081623,             0.00081623,             0.00081623
                     69,                0.94237,                0.78928,                 1.1826,                0.10904,                0.05915,                0.02738,                0.00817,                 3.3474,                 4.6926,                 3.6384,             0.00081183,             0.00081183,             0.00081183
                     70,                0.91292,                0.77376,                  1.171,                0.08863,                0.05875,                0.03328,                0.00665,                 2.8877,                 5.1029,                 3.1907,             0.00080743,             0.00080743,             0.00080743
                     71,                0.94799,                0.79236,                 1.1828,                0.16325,                0.07208,                0.06029,                0.02364,                 3.0514,                   4.67,                 3.1642,             0.00080303,             0.00080303,             0.00080303
                     72,                0.91868,                0.77348,                 1.1605,                0.32322,                0.08162,                0.07344,                0.01585,                 3.1128,                 4.5962,                 3.1152,             0.00079863,             0.00079863,             0.00079863
