                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0669,                 3.6493,                  2.084,                0.05256,                 0.0559,                0.02106,                0.00405,                 2.6738,                 6.1346,                 2.6244,             0.00035975,             0.00035975,             0.00035975
                      2,                 1.8843,                 3.0277,                  1.953,                0.25567,                0.03498,                0.00929,                0.00252,                 3.0843,                 7.4924,                 3.4461,             0.00072286,             0.00072286,             0.00072286
                      3,                 1.9084,                 2.8627,                 1.9882,                0.02304,                0.03043,                0.01318,                0.00464,                 3.1278,                  5.257,                  3.292,              0.0010786,              0.0010786,              0.0010786
                      4,                 1.8811,                 2.8059,                 1.9656,                0.20898,                0.02609,                0.00724,                 0.0018,                 2.8876,                 7.2181,                 3.0071,               0.001078,               0.001078,               0.001078
                      5,                 1.8392,                 2.6821,                 1.9441,                0.00987,                0.07369,                0.00595,                0.00219,                 2.9606,                 4.0395,                  3.048,               0.001067,               0.001067,               0.001067
                      6,                 1.8024,                  2.647,                 1.9355,                0.01526,                0.16113,                0.00964,                 0.0033,                  2.771,                 4.0495,                 3.1234,               0.001056,               0.001056,               0.001056
                      7,                   1.72,                 2.4717,                 1.8733,                0.02049,                0.03557,                0.01256,                0.00383,                 2.6481,                  5.068,                 2.9465,               0.001045,               0.001045,               0.001045
                      8,                 1.7736,                 2.4193,                 1.9208,                0.06156,                0.10971,                0.02851,                0.00911,                 2.9501,                 4.2483,                 3.0151,               0.001034,               0.001034,               0.001034
                      9,                 1.6974,                 2.3036,                 1.8481,                0.07143,                0.13752,                0.02739,                0.01043,                 2.8264,                 4.5865,                 2.9352,               0.001023,               0.001023,               0.001023
                     10,                 1.7373,                 2.2872,                 1.8596,                0.02652,                0.07177,                 0.0129,                0.00256,                 2.9219,                 4.5335,                 2.9371,               0.001012,               0.001012,               0.001012
                     11,                 1.6438,                 2.1506,                 1.7897,                0.07205,                0.09467,                0.03493,                0.00956,                 2.9669,                 3.6024,                  3.103,               0.001001,               0.001001,               0.001001
                     12,                 1.5779,                 2.0164,                 1.7363,                0.07549,                0.10037,                0.04025,                0.01258,                 2.6221,                 3.8145,                 2.6751,             0.00099001,             0.00099001,             0.00099001
                     13,                 1.5953,                 2.0074,                 1.7449,                0.06086,                0.06848,                0.03298,                0.01054,                  2.538,                 3.6133,                 2.8323,             0.00097901,             0.00097901,             0.00097901
                     14,                 1.5434,                 1.9435,                 1.7126,                0.11186,                0.06066,                0.04119,                0.01758,                  2.928,                 3.9467,                 3.1665,             0.00096801,             0.00096801,             0.00096801
                     15,                 1.5225,                 1.8446,                  1.677,                0.08233,                0.06508,                0.03244,                0.01362,                 2.9297,                 3.8494,                 3.0623,             0.00095702,             0.00095702,             0.00095702
                     16,                 1.5033,                 1.8553,                 1.6466,                0.08297,                0.08597,                0.05337,                0.01597,                 2.9129,                 3.7782,                 2.8929,             0.00094602,             0.00094602,             0.00094602
                     17,                 1.4721,                 1.7245,                 1.6326,                0.05246,                0.11641,                0.04205,                0.01065,                 2.9369,                 3.8913,                 2.9391,             0.00093502,             0.00093502,             0.00093502
                     18,                 1.4317,                 1.6759,                 1.5933,                0.05506,                0.14857,                0.02984,                 0.0094,                 2.4865,                 3.8689,                 2.5431,             0.00092402,             0.00092402,             0.00092402
                     19,                 1.4307,                 1.6553,                 1.6006,                0.05467,                0.12191,                 0.0332,                 0.0076,                 2.6851,                  3.768,                  2.862,             0.00091302,             0.00091302,             0.00091302
                     20,                 1.3697,                 1.5067,                 1.5481,                0.08688,                0.07212,                0.03922,                0.01784,                 2.7137,                 3.5862,                 2.7024,             0.00090202,             0.00090202,             0.00090202
                     21,                 1.4067,                 1.5639,                 1.5712,                0.08006,                0.12993,                0.04216,                0.01414,                 2.7662,                 3.5264,                  2.925,             0.00089102,             0.00089102,             0.00089102
                     22,                 1.3651,                 1.4306,                 1.5219,                0.05047,                0.08552,                0.03157,                0.00988,                 2.9917,                 4.0039,                 2.9391,             0.00088002,             0.00088002,             0.00088002
                     23,                  1.351,                   1.42,                 1.5132,                0.24623,                0.06876,                0.07788,                0.01832,                 2.8462,                 3.8026,                 2.9117,             0.00086902,             0.00086902,             0.00086902
                     24,                 1.3426,                 1.4561,                 1.5197,                0.09324,                0.07747,                0.05074,                0.01326,                 2.8437,                  3.996,                 2.9499,             0.00085803,             0.00085803,             0.00085803
                     25,                 1.3078,                 1.3858,                 1.4802,                0.07789,                 0.0876,                0.03319,                0.00998,                 3.0085,                 4.0992,                 3.1177,             0.00084703,             0.00084703,             0.00084703
                     26,                 1.2951,                 1.3538,                 1.4787,                0.14914,                0.09961,                0.05118,                0.01504,                 2.9194,                 3.7662,                  3.154,             0.00083603,             0.00083603,             0.00083603
                     27,                 1.2748,                  1.299,                 1.4516,                0.12324,                 0.0945,                 0.0397,                0.01038,                 2.9457,                 3.8728,                 2.9578,             0.00082503,             0.00082503,             0.00082503
                     28,                 1.2742,                 1.3134,                 1.4561,                0.09486,                0.10819,                0.04886,                 0.0113,                 2.9125,                 3.8405,                 3.0824,             0.00081403,             0.00081403,             0.00081403
                     29,                 1.2564,                 1.2509,                 1.4421,                0.25438,                0.06443,                 0.0605,                0.01672,                 2.8809,                 3.9693,                 3.0055,             0.00080303,             0.00080303,             0.00080303
                     30,                 1.2333,                 1.2461,                 1.4193,                0.07334,                0.12502,                0.05015,                0.01487,                 2.7675,                 4.1884,                 2.7699,             0.00079203,             0.00079203,             0.00079203
                     31,                 1.2311,                 1.2222,                 1.4103,                0.08103,                0.12598,                0.06385,                0.01331,                 2.7062,                 3.8954,                 2.9796,             0.00078103,             0.00078103,             0.00078103
                     32,                 1.1619,                  1.127,                 1.3713,                0.24498,                0.11274,                 0.0996,                0.02685,                 2.9025,                 4.1152,                 3.0349,             0.00077003,             0.00077003,             0.00077003
                     33,                  1.166,                 1.1304,                 1.3602,                 0.1379,                0.12786,                0.07516,                0.02523,                 2.9219,                 3.6887,                 3.1998,             0.00075904,             0.00075904,             0.00075904
                     34,                 1.1316,                 1.0873,                 1.3446,                0.11413,                 0.1378,                0.04854,                0.01352,                 2.9741,                 4.1723,                 3.2096,             0.00074804,             0.00074804,             0.00074804
                     35,                  1.126,                 1.0868,                 1.3459,                0.08031,                0.02753,                0.01685,                0.00631,                 3.2696,                 4.2371,                 3.1205,             0.00073704,             0.00073704,             0.00073704
                     36,                 1.1159,                 1.0738,                 1.3241,                0.12883,                0.13482,                0.06986,                0.01915,                 2.9251,                 4.0694,                  2.928,             0.00072604,             0.00072604,             0.00072604
                     37,                 1.0881,                 1.0048,                 1.3008,                0.19758,                0.13177,                0.10183,                0.03422,                 2.7945,                 3.9287,                 2.8849,             0.00071504,             0.00071504,             0.00071504
                     38,                 1.0986,                 1.0086,                 1.3028,                0.12621,                0.18982,                0.07454,                0.02367,                 2.7718,                 3.7342,                 2.9551,             0.00070404,             0.00070404,             0.00070404
                     39,                 1.0836,                0.98471,                 1.2959,                0.12397,                0.11294,                0.06674,                0.02088,                 2.7979,                 4.0543,                 2.8155,             0.00069304,             0.00069304,             0.00069304
                     40,                 1.0874,                0.99006,                 1.2995,                0.17231,                0.12609,                0.05838,                0.02321,                 2.8118,                 3.8372,                 2.9073,             0.00068204,             0.00068204,             0.00068204
                     41,                 1.0937,                0.98977,                  1.294,                 0.1988,                0.06754,                0.04225,                0.01813,                 2.8397,                 3.6715,                  2.979,             0.00067104,             0.00067104,             0.00067104
                     42,                 1.0611,                0.96769,                 1.2747,                0.17567,                0.11189,                0.05594,                0.01803,                 2.9136,                 3.6566,                 3.1006,             0.00066005,             0.00066005,             0.00066005
                     43,                 1.0532,                0.95427,                 1.2747,                0.21537,                0.09865,                0.06331,                0.02107,                 2.8942,                 4.1922,                 3.1097,             0.00064905,             0.00064905,             0.00064905
                     44,                 1.0338,                 0.9345,                 1.2621,                 0.2861,                0.06734,                0.06535,                0.01684,                 3.0014,                 3.6745,                 3.1911,             0.00063805,             0.00063805,             0.00063805
                     45,                 1.0253,                0.90262,                 1.2452,                0.09112,                0.10045,                0.04593,                0.02323,                 2.8337,                 4.1108,                 2.8365,             0.00062705,             0.00062705,             0.00062705
                     46,                 1.0272,                0.92213,                  1.252,                0.11582,                0.05384,                0.05179,                0.02374,                 2.9647,                 3.9306,                 3.0282,             0.00061605,             0.00061605,             0.00061605
                     47,                 0.9867,                  0.867,                 1.2185,                0.25105,                0.08401,                0.08366,                0.02941,                  2.961,                 3.9231,                 3.1262,             0.00060505,             0.00060505,             0.00060505
                     48,                0.98589,                 0.8629,                 1.2248,                  0.054,                0.08058,                0.03487,                0.01462,                 3.0296,                 4.0423,                 3.1018,             0.00059405,             0.00059405,             0.00059405
                     49,                0.95831,                 0.8489,                  1.203,                0.12049,                0.15919,                0.07508,                0.01672,                 2.9399,                 3.8506,                 3.0121,             0.00058305,             0.00058305,             0.00058305
                     50,                0.99649,                0.86959,                  1.232,                0.18449,                0.06838,                0.04639,                0.01312,                 2.9158,                 4.0781,                 3.0802,             0.00057205,             0.00057205,             0.00057205
                     51,                0.99533,                0.86168,                 1.2275,                0.15849,                0.10385,                0.06258,                0.01495,                 2.8114,                 4.1482,                  2.879,             0.00056105,             0.00056105,             0.00056105
                     52,                 0.9816,                0.85912,                 1.2256,                0.06995,                0.04777,                0.04374,                  0.015,                 2.9951,                 4.1837,                 3.0436,             0.00055006,             0.00055006,             0.00055006
                     53,                0.94859,                0.80914,                  1.187,                0.30713,                0.05071,                0.05146,                0.01382,                 2.9599,                 4.2287,                 3.0154,             0.00053906,             0.00053906,             0.00053906
                     54,                0.91406,                0.78518,                 1.1827,                0.09208,                0.09991,                 0.0624,                0.01554,                 2.9112,                 4.0458,                 3.0528,             0.00052806,             0.00052806,             0.00052806
                     55,                0.91696,                0.78605,                 1.1692,                0.32588,                 0.0781,                0.08804,                0.03377,                 2.8534,                 4.2947,                 2.9928,             0.00051706,             0.00051706,             0.00051706
                     56,                0.93068,                 0.7847,                 1.1728,                0.08777,                0.08832,                0.07136,                0.02904,                 2.9038,                 4.2858,                 2.9907,             0.00050606,             0.00050606,             0.00050606
                     57,                0.89976,                0.75975,                 1.1609,                0.34826,                 0.0827,                 0.1007,                0.02599,                 2.9034,                 4.0179,                 3.1281,             0.00049506,             0.00049506,             0.00049506
                     58,                0.92319,                0.77134,                 1.1795,                0.43233,                0.09535,                0.09688,                0.02706,                 3.0643,                  3.844,                  3.341,             0.00048406,             0.00048406,             0.00048406
                     59,                 0.8941,                0.73649,                 1.1549,                0.14336,                  0.103,                0.07242,                0.02183,                 2.8782,                 3.9835,                 3.0733,             0.00047306,             0.00047306,             0.00047306
                     60,                 0.8778,                0.73905,                 1.1555,                0.05161,                0.11994,                0.03742,                0.01749,                  2.846,                 4.2312,                 3.0324,             0.00046206,             0.00046206,             0.00046206
                     61,                0.87491,                0.73019,                  1.154,                 0.1533,                0.11672,                0.07649,                0.02303,                 3.1124,                  3.868,                 3.1349,             0.00045107,             0.00045107,             0.00045107
                     62,                0.85882,                0.69762,                 1.1303,                0.17089,                0.12431,                0.09244,                0.03602,                 2.8881,                 4.0947,                 2.9581,             0.00044007,             0.00044007,             0.00044007
                     63,                0.85057,                0.68649,                  1.122,                0.19455,                0.06328,                0.07026,                0.03196,                 2.8239,                 4.1072,                 3.0606,             0.00042907,             0.00042907,             0.00042907
                     64,                0.84825,                0.70067,                 1.1259,                0.17366,                0.12172,                0.08246,                0.02605,                  2.907,                 4.4038,                 2.9059,             0.00041807,             0.00041807,             0.00041807
                     65,                0.86144,                0.69957,                 1.1279,                0.34444,                0.08541,                0.08721,                0.03297,                 2.9304,                 4.4466,                 2.9654,             0.00040707,             0.00040707,             0.00040707
                     66,                0.84596,                0.70247,                 1.1324,                0.17344,                0.07369,                0.06667,                0.01752,                 2.9281,                 4.4987,                 3.0518,             0.00039607,             0.00039607,             0.00039607
                     67,                0.82716,                0.68126,                 1.1106,                0.38209,                0.08126,                0.09014,                0.03198,                 2.8615,                 4.5145,                 2.9499,             0.00038507,             0.00038507,             0.00038507
                     68,                0.81368,                0.66417,                 1.1015,                0.25251,                0.08996,                0.09056,                0.02935,                 2.9076,                 4.5438,                 2.9475,             0.00037407,             0.00037407,             0.00037407
                     69,                0.82752,                0.66052,                 1.1151,                0.19889,                 0.0945,                0.08723,                0.03119,                 2.9677,                 4.5918,                 3.0611,             0.00036307,             0.00036307,             0.00036307
                     70,                0.79543,                0.64604,                 1.0981,                0.33614,                0.08821,                0.09098,                0.03456,                 2.9754,                 4.7622,                 3.0067,             0.00035208,             0.00035208,             0.00035208
                     71,                0.82077,                0.67159,                 1.1076,                0.29285,                0.09885,                0.08259,                0.03264,                 3.0751,                 4.7767,                 3.0866,             0.00034108,             0.00034108,             0.00034108
                     72,                0.80747,                0.66716,                  1.106,                0.18211,                0.08117,                0.07344,                0.02824,                 2.8984,                 4.7282,                 3.0417,             0.00033008,             0.00033008,             0.00033008
                     73,                0.77932,                0.64906,                 1.0883,                0.10841,                0.07523,                0.07162,                0.02923,                 2.7884,                  4.886,                 2.9056,             0.00031908,             0.00031908,             0.00031908
                     74,                0.78464,                0.63952,                 1.0891,                0.40841,                0.05864,                 0.0701,                0.02963,                 2.8408,                 5.0123,                 2.7626,             0.00030808,             0.00030808,             0.00030808
                     75,                 0.7771,                0.64414,                 1.0805,                0.24555,                0.07197,                0.07955,                0.03203,                   3.01,                 4.9474,                 2.9398,             0.00029708,             0.00029708,             0.00029708
                     76,                0.75541,                0.62917,                 1.0855,                 0.3218,                0.07652,                0.07707,                0.02771,                  3.084,                 4.5868,                 3.1339,             0.00028608,             0.00028608,             0.00028608
                     77,                0.75053,                0.59866,                 1.0748,                0.25345,                0.09247,                0.09081,                0.03257,                 2.9561,                  4.338,                 3.0756,             0.00027508,             0.00027508,             0.00027508
                     78,                0.73528,                0.59864,                 1.0647,                0.36085,                0.07237,                0.08809,                0.03474,                 2.7953,                 4.3987,                 3.0464,             0.00026408,             0.00026408,             0.00026408
                     79,                0.72994,                0.58669,                 1.0628,                0.11767,                0.08996,                0.06641,                0.01987,                 2.8537,                 4.3379,                 3.0955,             0.00025309,             0.00025309,             0.00025309
                     80,                0.72875,                0.59587,                 1.0648,                0.14317,                0.06773,                0.06839,                0.01864,                 2.8796,                 4.8341,                 3.0501,             0.00024209,             0.00024209,             0.00024209
                     81,                0.74658,                0.60679,                  1.071,                0.55459,                0.06782,                 0.0817,                0.03226,                 2.8881,                 4.7053,                 3.0769,             0.00023109,             0.00023109,             0.00023109
                     82,                0.72812,                0.57337,                 1.0529,                0.17936,                0.05884,                 0.0706,                0.02425,                 2.8874,                 4.5881,                 3.0469,             0.00022009,             0.00022009,             0.00022009
                     83,                0.70342,                0.56082,                 1.0457,                0.17771,                0.09973,                0.07894,                0.02558,                  2.934,                 4.4592,                 3.1421,             0.00020909,             0.00020909,             0.00020909
                     84,                0.70939,                0.58347,                 1.0501,                0.24149,                0.08577,                 0.0909,                0.02726,                 2.9187,                 4.4783,                 3.1313,             0.00019809,             0.00019809,             0.00019809
                     85,                0.70182,                0.56379,                 1.0477,                 0.2683,                0.11633,                 0.1093,                0.04172,                 2.8705,                 4.3925,                  3.114,             0.00018709,             0.00018709,             0.00018709
                     86,                0.69192,                0.55808,                  1.036,                0.26509,                0.11218,                0.11878,                0.04293,                 2.8069,                 4.4903,                 3.1133,             0.00017609,             0.00017609,             0.00017609
                     87,                0.71083,                0.56463,                 1.0478,                0.23414,                0.08824,                0.08023,                0.03321,                  2.932,                 4.4744,                 3.2179,             0.00016509,             0.00016509,             0.00016509
                     88,                0.68755,                0.54738,                 1.0331,                0.22426,                0.08951,                0.09156,                0.02481,                  2.999,                  4.375,                 3.3232,              0.0001541,              0.0001541,              0.0001541
                     89,                0.68216,                0.56811,                 1.0389,                0.23174,                0.12749,                0.09051,                0.03036,                  2.942,                 4.6588,                 3.2045,              0.0001431,              0.0001431,              0.0001431
                     90,                0.67503,                0.54552,                 1.0272,                0.31744,                0.09459,                0.08385,                0.03075,                 2.9398,                 4.7204,                  3.086,              0.0001321,              0.0001321,              0.0001321
                     91,                0.60095,                0.43588,                0.97835,                0.19731,                0.09894,                0.08565,                0.04011,                 2.8994,                 4.7346,                 3.1268,              0.0001211,              0.0001211,              0.0001211
                     92,                  0.598,                0.42024,                 0.9816,                0.48295,                0.09913,                0.10445,                0.03911,                 2.9145,                 4.4066,                 3.1056,              0.0001101,              0.0001101,              0.0001101
                     93,                0.59447,                0.41696,                 1.0034,                0.25047,                0.09459,                0.09528,                0.03022,                 2.9959,                 4.4743,                   3.12,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     94,                0.57739,                0.40387,                0.97821,                0.21995,                0.09459,                 0.0943,                0.03131,                 3.0039,                 4.4375,                 3.0741,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     95,                0.56481,                0.38728,                0.96605,                0.16069,                0.07671,                0.08435,                0.02717,                 2.9096,                  4.486,                 3.0218,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     96,                0.55906,                0.36943,                0.95608,                0.32107,                0.10741,                0.10792,                0.03204,                  2.855,                 4.5287,                  2.992,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     97,                0.54643,                0.38613,                0.96443,                0.28186,                0.10599,                0.10451,                 0.0381,                 2.7854,                 4.4044,                 2.9947,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     98,                0.53107,                0.37151,                0.95021,                0.23477,                0.08106,                0.09767,                 0.0425,                 2.8917,                 4.3425,                   3.01,             4.4107e-05,             4.4107e-05,             4.4107e-05
                     99,                0.52982,                0.37587,                0.94772,                0.32907,                0.10328,                 0.1076,                0.03904,                 2.9081,                 4.4439,                 3.0006,             3.3108e-05,             3.3108e-05,             3.3108e-05
