                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.937,                 3.4509,                 2.0821,                0.04725,                 0.0559,                0.01688,                0.00507,                 3.1276,                 5.1596,                 3.3739,             0.00036504,             0.00036504,             0.00036504
                      2,                  1.928,                 3.3323,                 2.0343,                0.01135,                0.08385,                0.00909,                0.00244,                 3.0771,                  4.384,                 3.3307,              0.0007281,              0.0007281,              0.0007281
                      3,                 1.9435,                 3.1013,                 2.0714,                 0.2186,                0.03602,                0.00715,                0.00183,                 3.0726,                 5.6791,                 3.1012,              0.0010838,              0.0010838,              0.0010838
                      4,                  1.941,                 3.0759,                 2.0723,                0.03992,                0.06231,                0.01389,                0.00526,                 2.9954,                 5.4251,                  3.175,               0.001078,               0.001078,               0.001078
                      5,                 1.9361,                 2.9678,                 2.0863,                0.01294,                  0.112,                0.00813,                0.00276,                 2.6512,                 5.7934,                 2.8194,               0.001067,               0.001067,               0.001067
                      6,                 1.9515,                  2.962,                 2.1138,                0.01744,                  0.044,                0.01261,                0.00294,                  2.886,                 4.0932,                 2.9532,               0.001056,               0.001056,               0.001056
                      7,                 1.9035,                 2.8988,                  2.096,                   0.03,                0.09627,                0.01792,                 0.0062,                 2.8349,                 4.2091,                 3.0082,               0.001045,               0.001045,               0.001045
                      8,                 1.8569,                 2.8146,                 2.0168,                0.03419,                 0.0882,                 0.0204,                0.00445,                 2.8012,                 3.9256,                 3.0879,               0.001034,               0.001034,               0.001034
                      9,                  1.811,                 2.7199,                 1.9902,                0.03763,                0.02733,                 0.0243,                0.00729,                 2.7099,                 3.8707,                 3.0215,               0.001023,               0.001023,               0.001023
                     10,                 1.8099,                 2.6606,                 1.9784,                0.03129,                0.14139,                0.02037,                0.00645,                 2.7921,                 3.9896,                 2.8866,               0.001012,               0.001012,               0.001012
                     11,                 1.7606,                 2.5793,                 1.9414,                0.03401,                0.11026,                0.01908,                0.00523,                 2.8639,                 3.9956,                 3.1558,               0.001001,               0.001001,               0.001001
                     12,                   1.75,                 2.5232,                 1.9347,                0.03581,                0.06414,                0.01967,                0.00555,                  2.649,                 3.9489,                 2.8149,             0.00099001,             0.00099001,             0.00099001
                     13,                 1.6792,                 2.4173,                 1.8602,                0.33538,                0.06604,                0.05455,                0.01885,                 2.7032,                 3.7222,                 2.8152,             0.00097901,             0.00097901,             0.00097901
                     14,                 1.6239,                 2.3481,                 1.8473,                0.02323,                0.04984,                0.02113,                0.00557,                 2.7124,                 3.7953,                 2.9811,             0.00096801,             0.00096801,             0.00096801
                     15,                 1.6433,                 2.3278,                  1.859,                0.06488,                0.04842,                0.03753,                0.00802,                 2.6012,                 3.7594,                 2.8912,             0.00095702,             0.00095702,             0.00095702
                     16,                 1.6013,                 2.2136,                 1.8427,                0.09437,                0.09582,                0.03265,                0.00987,                 2.6393,                 3.8941,                  2.786,             0.00094602,             0.00094602,             0.00094602
                     17,                 1.5992,                 2.2222,                 1.8533,                0.06886,                0.11985,                0.04856,                0.01931,                 2.6251,                 3.5505,                 2.8646,             0.00093502,             0.00093502,             0.00093502
                     18,                 1.5563,                 2.1114,                 1.7938,                0.06829,                0.08363,                0.03591,                0.01261,                 2.6075,                 3.7239,                 2.8716,             0.00092402,             0.00092402,             0.00092402
                     19,                 1.5389,                 2.0434,                  1.789,                0.05413,                0.07693,                0.04904,                0.02147,                 2.5968,                 3.6142,                 2.8107,             0.00091302,             0.00091302,             0.00091302
                     20,                 1.5508,                 2.0325,                  1.791,                0.05684,                0.05031,                0.03711,                0.00933,                 2.7194,                 3.8075,                 2.8282,             0.00090202,             0.00090202,             0.00090202
                     21,                 1.5123,                 2.0225,                  1.745,                0.04191,                0.09393,                0.03049,                0.00785,                 2.7204,                 3.9961,                 2.9167,             0.00089102,             0.00089102,             0.00089102
                     22,                 1.4612,                 1.8849,                 1.7017,                0.05253,                0.07623,                0.03253,                0.00976,                 2.7727,                 3.5421,                 3.1146,             0.00088002,             0.00088002,             0.00088002
                     23,                 1.5184,                  1.949,                 1.7318,                0.23069,                0.08042,                 0.0243,                0.00683,                 2.7749,                  4.037,                 3.0122,             0.00086902,             0.00086902,             0.00086902
                     24,                 1.4718,                 1.9022,                 1.7229,                0.05487,                0.07823,                0.04057,                0.01049,                 2.5018,                 3.7618,                 2.6879,             0.00085803,             0.00085803,             0.00085803
                     25,                 1.4486,                 1.7886,                 1.6897,                0.12765,                0.06064,                0.04527,                 0.0156,                 2.7159,                 3.9137,                 2.8811,             0.00084703,             0.00084703,             0.00084703
                     26,                 1.4134,                 1.7294,                 1.6769,                0.06365,                  0.119,                0.04928,                0.01511,                 2.8157,                 3.7891,                 2.9499,             0.00083603,             0.00083603,             0.00083603
                     27,                 1.3394,                 1.6353,                  1.614,                0.06032,                0.13648,                0.03314,                0.01336,                  2.701,                 4.0162,                 2.9249,             0.00082503,             0.00082503,             0.00082503
                     28,                 1.3674,                 1.6656,                 1.6157,                0.06767,                0.13233,                 0.0383,                0.01028,                 2.8206,                 4.3472,                 3.1277,             0.00081403,             0.00081403,             0.00081403
                     29,                 1.3415,                 1.5579,                 1.5794,                0.10404,                0.11759,                0.04581,                0.01545,                 2.7857,                 3.8771,                 3.1208,             0.00080303,             0.00080303,             0.00080303
                     30,                 1.3264,                 1.5567,                 1.5862,                0.05521,                0.09272,                0.03104,                0.00874,                 2.6311,                 3.8776,                 2.9113,             0.00079203,             0.00079203,             0.00079203
                     31,                 1.2625,                 1.4646,                  1.517,                 0.0484,                0.07264,                0.01998,                0.00893,                 2.8109,                 4.2536,                 2.9993,             0.00078103,             0.00078103,             0.00078103
                     32,                 1.3007,                 1.4516,                 1.5566,                0.10646,                0.13668,                0.04082,                0.01061,                 2.7485,                  3.933,                 3.0234,             0.00077003,             0.00077003,             0.00077003
                     33,                 1.2971,                 1.4265,                 1.5519,                0.14428,                0.09187,                0.04484,                0.01219,                 2.8491,                 3.9973,                 2.9771,             0.00075904,             0.00075904,             0.00075904
                     34,                 1.2804,                 1.4098,                  1.532,                0.10618,                0.08069,                0.04236,                0.01277,                  2.762,                 3.9947,                   2.91,             0.00074804,             0.00074804,             0.00074804
                     35,                  1.228,                 1.3427,                 1.5021,                  0.077,                 0.1201,                0.03792,                0.01011,                 2.8746,                 3.8737,                 3.2159,             0.00073704,             0.00073704,             0.00073704
                     36,                  1.232,                 1.3653,                 1.5142,                0.05564,                0.09382,                0.03321,                 0.0112,                 2.9425,                 3.9822,                 3.2874,             0.00072604,             0.00072604,             0.00072604
                     37,                 1.2279,                 1.3838,                 1.4994,                0.11356,                0.09196,                0.04299,                 0.0126,                 2.7012,                 4.1307,                  2.959,             0.00071504,             0.00071504,             0.00071504
