                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1614,                 3.4228,                 2.1844,                0.09966,                0.16249,                0.05657,                0.01862,                 2.5104,                 3.6023,                 2.4649,             0.00036472,             0.00036472,             0.00036472
                      2,                 2.0908,                 2.9983,                 2.1454,                 0.0412,                0.12743,                 0.0376,                0.01186,                 2.4792,                 4.3958,                 2.6815,             0.00073324,             0.00073324,             0.00073324
                      3,                 2.1245,                 2.9659,                 2.1689,                  0.839,                0.05294,                 0.0486,                0.01822,                 2.5878,                 4.8873,                 2.7218,              0.0010999,              0.0010999,              0.0010999
                      4,                 2.0859,                 2.9307,                 2.1982,                0.04915,                0.16601,                0.04404,                0.01279,                 2.5627,                 3.7038,                 2.5959,              0.0011028,              0.0011028,              0.0011028
                      5,                 2.0895,                 2.9045,                 2.1772,                0.16504,                0.13667,                0.07675,                0.02305,                 2.5697,                 3.5288,                 2.6115,                 0.0011,                 0.0011,                 0.0011
                      6,                 2.0094,                 2.7609,                 2.1272,                0.12398,                0.16351,                0.07301,                0.02713,                 2.4379,                 3.2577,                 2.4991,              0.0010973,              0.0010973,              0.0010973
                      7,                 1.9874,                 2.6847,                 2.0747,                0.17116,                0.20376,                0.10661,                0.04266,                  2.402,                 3.4511,                 2.5362,              0.0010945,              0.0010945,              0.0010945
                      8,                 1.9494,                 2.5883,                 2.0746,                 0.1811,                0.19042,                0.11097,                0.03747,                 2.3846,                 3.1313,                  2.486,              0.0010918,              0.0010918,              0.0010918
                      9,                 1.9335,                 2.5492,                 2.0562,                0.13167,                0.20241,                0.10116,                0.03826,                 2.4151,                 3.0046,                 2.4874,               0.001089,               0.001089,               0.001089
                     10,                 1.8999,                 2.4964,                 2.0303,                0.18385,                 0.1988,                0.11002,                0.04298,                 2.3955,                 3.1148,                 2.5044,              0.0010863,              0.0010863,              0.0010863
                     11,                 1.8934,                 2.4347,                 2.0118,                0.20164,                0.18992,                0.11255,                 0.0468,                 2.4494,                 3.1006,                 2.5225,              0.0010835,              0.0010835,              0.0010835
                     12,                 1.8462,                 2.3492,                 1.9761,                0.10979,                0.14562,                0.08577,                0.03307,                 2.4316,                 3.2883,                 2.5367,              0.0010808,              0.0010808,              0.0010808
                     13,                 1.8515,                 2.3416,                 1.9726,                0.19316,                0.17511,                0.10878,                 0.0384,                 2.4291,                 3.1454,                 2.5085,               0.001078,               0.001078,               0.001078
                     14,                 1.8228,                 2.3244,                 1.9696,                0.13485,                0.22002,                 0.1129,                0.04772,                 2.4124,                 3.1849,                 2.5076,              0.0010753,              0.0010753,              0.0010753
                     15,                  1.801,                 2.2315,                 1.9251,                0.20317,                0.23832,                0.13518,                0.05334,                   2.44,                 3.0972,                 2.5399,              0.0010725,              0.0010725,              0.0010725
                     16,                  1.771,                 2.1804,                 1.9063,                0.20361,                0.18459,                0.13822,                0.05354,                  2.481,                      3,                 2.4848,              0.0010698,              0.0010698,              0.0010698
                     17,                 1.7602,                 2.1281,                 1.9005,                0.21565,                0.20038,                 0.1257,                0.04139,                 2.4798,                 3.1457,                 2.5816,               0.001067,               0.001067,               0.001067
                     18,                 1.7435,                 2.0918,                 1.8778,                0.28208,                0.15786,                0.13395,                0.04523,                 2.5044,                 3.0949,                  2.625,              0.0010643,              0.0010643,              0.0010643
                     19,                 1.7124,                 2.0228,                 1.8413,                0.20592,                0.24346,                0.15715,                0.04793,                  2.556,                 3.0662,                 2.6373,              0.0010615,              0.0010615,              0.0010615
                     20,                 1.7091,                 1.9967,                  1.844,                0.19652,                0.13458,                 0.1078,                0.03565,                 2.5523,                 3.2172,                 2.6523,              0.0010588,              0.0010588,              0.0010588
                     21,                 1.6749,                 1.9171,                 1.8046,                0.16549,                0.26672,                0.12686,                0.04773,                 2.6587,                 3.0629,                 2.6576,               0.001056,               0.001056,               0.001056
                     22,                 1.6514,                 1.8672,                 1.8006,                0.30071,                0.19556,                0.13935,                0.04923,                 2.5079,                 3.1489,                 2.6509,              0.0010533,              0.0010533,              0.0010533
                     23,                 1.6383,                 1.8187,                 1.7973,                0.28074,                0.19044,                0.16768,                0.05401,                 2.5335,                 3.0747,                 2.6409,              0.0010505,              0.0010505,              0.0010505
                     24,                 1.6328,                 1.8124,                 1.7789,                0.19405,                0.21976,                0.13701,                0.05339,                 2.6295,                 3.0626,                 2.6987,              0.0010478,              0.0010478,              0.0010478
                     25,                 1.6124,                 1.7615,                 1.7658,                0.17267,                0.23081,                0.12925,                0.04291,                 2.6369,                 3.1576,                 2.6912,               0.001045,               0.001045,               0.001045
                     26,                  1.608,                 1.7286,                 1.7564,                0.24505,                0.20373,                 0.1422,                0.04699,                 2.6298,                 3.3157,                 2.6603,              0.0010423,              0.0010423,              0.0010423
                     27,                 1.5566,                 1.6891,                 1.7225,                0.31457,                 0.1893,                0.15367,                0.05901,                 2.5952,                 3.1283,                 2.6788,              0.0010395,              0.0010395,              0.0010395
                     28,                 1.5827,                 1.6875,                 1.7268,                 0.2475,                0.22997,                0.14991,                0.05342,                 2.5368,                 3.0784,                 2.6293,              0.0010368,              0.0010368,              0.0010368
                     29,                 1.5366,                 1.6152,                  1.677,                0.28584,                0.18866,                0.14522,                0.05317,                 2.5902,                 3.0084,                 2.6775,               0.001034,               0.001034,               0.001034
                     30,                 1.5402,                 1.6161,                 1.6833,                0.24619,                0.21524,                0.14599,                0.04999,                 2.5827,                 3.1771,                 2.6761,              0.0010313,              0.0010313,              0.0010313
                     31,                 1.5393,                 1.6031,                 1.6884,                0.15931,                0.27028,                0.12793,                0.04429,                 2.6041,                 3.2608,                 2.6692,              0.0010285,              0.0010285,              0.0010285
                     32,                 1.5137,                 1.5523,                 1.6605,                 0.2421,                0.21969,                0.14923,                0.05615,                  2.627,                 3.1566,                 2.6779,              0.0010258,              0.0010258,              0.0010258
                     33,                 1.4923,                 1.5058,                 1.6402,                 0.2314,                0.20842,                0.11887,                0.04381,                 2.6798,                 3.1814,                 2.7586,               0.001023,               0.001023,               0.001023
                     34,                 1.4723,                 1.4841,                 1.6271,                 0.1788,                0.25583,                0.13167,                0.04313,                  2.708,                 3.2234,                 2.7989,              0.0010203,              0.0010203,              0.0010203
                     35,                 1.4666,                 1.5029,                 1.6283,                0.25519,                0.23385,                0.15702,                0.05438,                 2.6997,                 3.2136,                 2.7636,              0.0010175,              0.0010175,              0.0010175
                     36,                 1.4204,                 1.3687,                 1.5765,                0.22196,                0.22723,                0.14639,                0.05138,                  2.681,                  3.125,                 2.7758,              0.0010148,              0.0010148,              0.0010148
                     37,                 1.4306,                 1.3918,                  1.588,                0.27662,                0.19567,                0.16041,                0.05884,                 2.6166,                 3.1795,                 2.6891,               0.001012,               0.001012,               0.001012
                     38,                 1.4247,                 1.4063,                 1.5935,                0.23992,                 0.2666,                0.14938,                0.04559,                 2.7663,                 3.1793,                 2.8484,              0.0010093,              0.0010093,              0.0010093
                     39,                 1.4316,                 1.3955,                 1.5752,                0.21819,                0.24773,                0.16988,                0.06397,                 2.6298,                 3.0625,                  2.721,              0.0010065,              0.0010065,              0.0010065
                     40,                 1.3864,                  1.337,                 1.5565,                0.19013,                0.26343,                0.13887,                0.04899,                 2.7038,                 3.2478,                  2.828,              0.0010038,              0.0010038,              0.0010038
                     41,                 1.3832,                 1.3445,                  1.538,                 0.2643,                 0.2051,                0.13663,                0.04499,                 2.7516,                 3.2796,                 2.8102,               0.001001,               0.001001,               0.001001
                     42,                 1.3803,                 1.3382,                 1.5418,                 0.2622,                0.23398,                 0.1746,                0.05694,                 2.6934,                 3.1779,                 2.7968,             0.00099826,             0.00099826,             0.00099826
                     43,                 1.3706,                 1.2867,                 1.5309,                  0.296,                0.24803,                0.18354,                0.06942,                 2.6968,                 3.2294,                 2.8097,             0.00099551,             0.00099551,             0.00099551
                     44,                 1.3833,                 1.3439,                 1.5513,                0.34474,                0.18854,                0.16024,                0.05252,                 2.8117,                 3.2737,                  2.954,             0.00099276,             0.00099276,             0.00099276
                     45,                 1.3359,                 1.2371,                  1.512,                0.34424,                0.20981,                0.15275,                0.05306,                 2.7237,                 3.3055,                 2.8318,             0.00099001,             0.00099001,             0.00099001
                     46,                  1.317,                 1.2203,                 1.4872,                0.20502,                0.21346,                0.12386,                0.04278,                 2.7464,                 3.2601,                 2.8777,             0.00098726,             0.00098726,             0.00098726
                     47,                 1.2996,                 1.2003,                 1.4679,                 0.2972,                0.20324,                0.14858,                0.05325,                  2.721,                 3.3732,                 2.7876,             0.00098451,             0.00098451,             0.00098451
                     48,                 1.3145,                 1.2278,                 1.4894,                0.26117,                0.22751,                0.14699,                0.04227,                 2.9363,                 3.2451,                 3.0189,             0.00098176,             0.00098176,             0.00098176
                     49,                 1.3458,                 1.2401,                 1.4982,                0.24984,                0.27646,                 0.1728,                0.06299,                 2.6885,                 3.2379,                 2.7408,             0.00097901,             0.00097901,             0.00097901
                     50,                 1.3046,                 1.1906,                 1.4792,                0.27694,                0.23258,                0.16149,                0.06195,                  2.759,                 3.3913,                 2.8453,             0.00097626,             0.00097626,             0.00097626
                     51,                 1.2904,                   1.19,                 1.4666,                0.33764,                0.22317,                0.17641,                0.06028,                 2.7605,                 3.2622,                 2.8119,             0.00097351,             0.00097351,             0.00097351
                     52,                 1.2701,                  1.149,                 1.4385,                0.23769,                0.23523,                 0.1602,                0.04675,                 2.7127,                 3.3115,                 2.8347,             0.00097076,             0.00097076,             0.00097076
                     53,                 1.2889,                 1.1615,                 1.4651,                0.26819,                0.21785,                 0.1463,                  0.057,                 2.7612,                 3.3354,                 2.8535,             0.00096801,             0.00096801,             0.00096801
                     54,                 1.2702,                 1.1512,                 1.4517,                0.26499,                0.20969,                 0.1415,                 0.0465,                 2.7882,                 3.3499,                 2.9339,             0.00096526,             0.00096526,             0.00096526
                     55,                 1.2716,                 1.1593,                 1.4395,                0.19687,                0.20021,                 0.1045,                0.03839,                 2.7588,                 3.5592,                 2.8169,             0.00096251,             0.00096251,             0.00096251
                     56,                 1.2472,                 1.1079,                 1.4271,                0.21654,                0.24519,                0.14887,                0.05333,                  2.828,                 3.4345,                 2.8994,             0.00095977,             0.00095977,             0.00095977
                     57,                  1.246,                 1.1301,                 1.4307,                0.19914,                0.20239,                 0.1255,                0.04236,                   2.75,                 3.5369,                  2.823,             0.00095702,             0.00095702,             0.00095702
                     58,                 1.2546,                 1.1195,                 1.4306,                0.30172,                0.19184,                0.12994,                0.04487,                 2.8026,                 3.4542,                 2.8971,             0.00095427,             0.00095427,             0.00095427
                     59,                 1.2381,                 1.1047,                 1.4208,                0.33442,                0.24298,                0.18668,                0.06134,                 2.7212,                 3.2923,                 2.9211,             0.00095152,             0.00095152,             0.00095152
                     60,                 1.2324,                 1.0816,                 1.4123,                0.19446,                0.20505,                0.14187,                0.04735,                 2.8289,                 3.6497,                 2.9116,             0.00094877,             0.00094877,             0.00094877
                     61,                  1.232,                 1.0967,                 1.4139,                0.26893,                0.22807,                0.15244,                0.05096,                 2.7546,                  3.523,                 2.8192,             0.00094602,             0.00094602,             0.00094602
                     62,                 1.2128,                 1.0672,                 1.3854,                0.27251,                 0.2514,                0.16521,                0.06365,                  2.747,                  3.549,                 2.8249,             0.00094327,             0.00094327,             0.00094327
                     63,                 1.2019,                  1.068,                 1.3959,                0.21323,                0.19745,                0.13903,                0.04295,                 2.8366,                 3.6381,                 2.9872,             0.00094052,             0.00094052,             0.00094052
                     64,                 1.1814,                 1.0288,                 1.3773,                0.29194,                0.19852,                0.13221,                0.04682,                 2.8397,                 3.3822,                 2.8998,             0.00093777,             0.00093777,             0.00093777
                     65,                 1.1833,                 1.0382,                 1.3739,                0.20558,                0.19706,                0.13532,                0.04914,                 2.7694,                 3.5436,                 2.8339,             0.00093502,             0.00093502,             0.00093502
                     66,                 1.1844,                 1.0199,                 1.3662,                0.31676,                 0.2116,                0.17467,                0.05978,                 2.7731,                 3.8533,                  2.924,             0.00093227,             0.00093227,             0.00093227
                     67,                 1.1833,                 1.0331,                 1.3772,                0.22481,                0.23227,                0.12833,                0.04735,                 2.7998,                 3.6915,                  2.861,             0.00092952,             0.00092952,             0.00092952
                     68,                 1.1748,                 1.0117,                 1.3646,                0.26357,                0.20449,                0.15322,                0.04857,                 2.8241,                 3.8353,                 2.9988,             0.00092677,             0.00092677,             0.00092677
                     69,                 1.1581,                0.99613,                  1.357,                0.21262,                0.20079,                0.11015,                0.03631,                 2.8983,                 3.9327,                 2.9928,             0.00092402,             0.00092402,             0.00092402
                     70,                 1.1485,                 0.9823,                 1.3498,                0.36324,                0.21089,                0.16039,                0.05081,                 2.7733,                 3.5957,                 2.9439,             0.00092127,             0.00092127,             0.00092127
                     71,                 1.1596,                0.98914,                 1.3515,                 0.2799,                0.18692,                0.13162,                 0.0483,                 2.8262,                 3.8129,                 3.0011,             0.00091852,             0.00091852,             0.00091852
                     72,                 1.1174,                0.94953,                 1.3254,                0.31682,                0.18033,                0.14398,                0.04893,                 2.8511,                 3.7645,                 3.0178,             0.00091577,             0.00091577,             0.00091577
                     73,                 1.1432,                0.98056,                 1.3442,                0.22618,                0.19079,                0.13447,                0.04544,                 2.8389,                 3.7802,                 2.9262,             0.00091302,             0.00091302,             0.00091302
                     74,                  1.146,                0.98594,                 1.3431,                0.31491,                0.15731,                0.11576,                0.03525,                 2.8486,                 3.9192,                 2.9516,             0.00091027,             0.00091027,             0.00091027
                     75,                 1.1392,                 0.9831,                 1.3387,                0.25598,                0.19424,                0.14988,                0.05592,                 2.7557,                 3.6265,                 2.9034,             0.00090752,             0.00090752,             0.00090752
                     76,                 1.1321,                0.98209,                 1.3373,                0.25289,                0.18773,                 0.1321,                0.04147,                 2.8875,                 3.7287,                 3.0499,             0.00090477,             0.00090477,             0.00090477
                     77,                 1.0857,                0.92418,                 1.3124,                0.21957,                0.22398,                0.12932,                0.04547,                 2.8793,                 3.7066,                 3.0734,             0.00090202,             0.00090202,             0.00090202
                     78,                 1.0876,                0.91007,                 1.2981,                 0.2249,                0.18555,                0.11957,                0.03947,                 2.7944,                 3.8793,                 2.9244,             0.00089927,             0.00089927,             0.00089927
                     79,                 1.0727,                0.87413,                 1.2836,                0.23949,                0.21483,                0.13855,                0.04594,                  2.854,                 3.9079,                 2.9785,             0.00089652,             0.00089652,             0.00089652
                     80,                 1.0909,                0.90376,                 1.2986,                0.23571,                0.19345,                0.12431,                0.04478,                 2.9447,                 3.8871,                 3.0984,             0.00089377,             0.00089377,             0.00089377
                     81,                 1.1097,                0.90932,                 1.3051,                0.28796,                0.19665,                0.14184,                0.04618,                 2.9242,                 3.7471,                 3.0672,             0.00089102,             0.00089102,             0.00089102
                     82,                 1.0938,                0.90226,                 1.2999,                0.31582,                0.21428,                0.15949,                0.05725,                 2.8318,                 3.7022,                 2.9716,             0.00088827,             0.00088827,             0.00088827
                     83,                 1.0805,                0.90517,                 1.2941,                0.25422,                0.16528,                 0.1157,                0.03847,                 2.8993,                 3.8937,                 3.0053,             0.00088552,             0.00088552,             0.00088552
                     84,                 1.0787,                0.92172,                 1.2928,                 0.2999,                0.18991,                 0.1468,                0.04923,                 2.9358,                 3.8355,                 3.0543,             0.00088277,             0.00088277,             0.00088277
                     85,                 1.0829,                0.92559,                 1.3034,                0.36017,                0.17687,                0.14526,                0.05275,                 2.7976,                 3.6523,                 3.0355,             0.00088002,             0.00088002,             0.00088002
                     86,                 1.0641,                0.87606,                 1.2818,                0.27788,                0.21042,                0.13419,                 0.0458,                 2.8217,                 3.9785,                 2.9222,             0.00087727,             0.00087727,             0.00087727
                     87,                 1.0697,                0.90718,                 1.2918,                0.29704,                0.16041,                 0.1413,                0.05408,                  2.756,                 3.7271,                 2.9121,             0.00087452,             0.00087452,             0.00087452
                     88,                 1.0674,                0.89717,                 1.2961,                0.20362,                0.19939,                0.13734,                0.05545,                 2.8678,                 3.8144,                 2.9529,             0.00087177,             0.00087177,             0.00087177
                     89,                 1.0485,                0.87068,                 1.2727,                 0.2183,                0.17575,                0.12998,                0.04557,                 2.8741,                 4.0084,                 3.0003,             0.00086902,             0.00086902,             0.00086902
                     90,                 1.0501,                 0.8482,                 1.2678,                0.22016,                0.16494,                0.11079,                0.03928,                 2.9046,                 3.9475,                 3.0671,             0.00086627,             0.00086627,             0.00086627
                     91,                 1.0462,                0.87342,                  1.277,                0.24004,                 0.2053,                0.13581,                0.05193,                 2.9038,                 3.9253,                 3.0939,             0.00086352,             0.00086352,             0.00086352
                     92,                 1.0202,                0.82561,                  1.244,                0.23168,                0.17741,                0.12435,                0.04318,                  2.949,                 3.7578,                 3.0818,             0.00086078,             0.00086078,             0.00086078
                     93,                  1.027,                0.84583,                 1.2556,                0.20922,                0.18256,                0.11377,                0.04387,                 2.9669,                 3.9678,                 3.0551,             0.00085803,             0.00085803,             0.00085803
                     94,                 1.0261,                 0.8443,                 1.2478,                0.30227,                0.16283,                0.13518,                0.04956,                  2.902,                 3.6417,                 3.0428,             0.00085528,             0.00085528,             0.00085528
                     95,                 1.0117,                0.83565,                 1.2419,                0.29439,                0.17413,                 0.1414,                 0.0611,                 2.8391,                 3.9104,                 2.9412,             0.00085253,             0.00085253,             0.00085253
                     96,                 1.0126,                0.82595,                  1.258,                 0.2408,                0.21116,                0.14561,                0.04826,                 2.8587,                 3.9645,                 2.9868,             0.00084978,             0.00084978,             0.00084978
                     97,                 1.0234,                0.81191,                 1.2349,                0.26052,                0.20833,                0.15424,                0.04939,                 2.8605,                  3.967,                 3.0639,             0.00084703,             0.00084703,             0.00084703
                     98,                 1.0229,                0.83065,                 1.2431,                0.27512,                0.18276,                0.15183,                0.05042,                 2.9128,                 3.8677,                  3.039,             0.00084428,             0.00084428,             0.00084428
                     99,                 1.0272,                0.85151,                 1.2536,                0.28541,                0.18283,                0.13601,                0.04643,                 2.8888,                 3.8636,                 2.9898,             0.00084153,             0.00084153,             0.00084153
                    100,                  1.006,                0.82452,                 1.2384,                0.26118,                0.21266,                0.14384,                0.04932,                 2.8867,                 3.7866,                 3.0101,             0.00083878,             0.00083878,             0.00083878
                    101,                 1.0096,                0.82485,                 1.2381,                  0.265,                0.18355,                0.13589,                0.04852,                 2.9223,                 3.7652,                 3.0772,             0.00083603,             0.00083603,             0.00083603
                    102,                 1.0164,                0.82978,                 1.2423,                0.25553,                0.20416,                0.13789,                0.04983,                 2.8959,                 3.6663,                 3.0568,             0.00083328,             0.00083328,             0.00083328
                    103,                 1.0002,                0.80648,                 1.2275,                0.27218,                0.17569,                0.15589,                0.05349,                 3.0368,                 3.7442,                 3.1222,             0.00083053,             0.00083053,             0.00083053
                    104,                 1.0138,                0.80759,                  1.237,                0.26167,                0.20756,                 0.1536,                0.05017,                 2.9952,                 3.9032,                 3.1927,             0.00082778,             0.00082778,             0.00082778
                    105,                0.98267,                0.77681,                 1.2131,                0.23591,                0.17359,                0.12407,                0.04209,                 2.9061,                 3.9724,                 3.0951,             0.00082503,             0.00082503,             0.00082503
                    106,                0.99067,                0.81786,                 1.2308,                0.28359,                0.17605,                0.14078,                0.05224,                 2.8951,                  3.616,                 3.0798,             0.00082228,             0.00082228,             0.00082228
                    107,                0.98891,                0.80241,                 1.2263,                0.25727,                0.21179,                0.14443,                0.04558,                 2.9069,                 3.7319,                 3.0837,             0.00081953,             0.00081953,             0.00081953
                    108,                0.97342,                0.78199,                 1.2163,                0.26885,                0.18212,                0.13274,                0.05042,                 2.9291,                 3.9494,                 3.0853,             0.00081678,             0.00081678,             0.00081678
                    109,                0.96395,                0.77262,                 1.2048,                0.30348,                0.21363,                0.15036,                0.05225,                 2.9858,                 3.8325,                 3.1372,             0.00081403,             0.00081403,             0.00081403
                    110,                0.96099,                0.77073,                 1.2048,                0.31546,                0.22568,                0.16637,                0.06416,                 2.8881,                 3.7989,                 3.0971,             0.00081128,             0.00081128,             0.00081128
                    111,                0.97751,                0.76567,                 1.2103,                0.31728,                0.18613,                0.13607,                0.04602,                 2.9535,                  3.796,                 3.1149,             0.00080853,             0.00080853,             0.00080853
                    112,                0.94417,                0.75135,                 1.1982,                0.36519,                0.18807,                 0.1468,                 0.0514,                 2.8597,                 3.7822,                 2.9712,             0.00080578,             0.00080578,             0.00080578
                    113,                 0.9557,                 0.7692,                 1.1971,                0.37273,                0.18188,                0.15089,                0.05043,                 2.9661,                 3.9252,                 3.0548,             0.00080303,             0.00080303,             0.00080303
                    114,                 0.9571,                 0.7586,                 1.2012,                0.26863,                0.15728,                0.12137,                0.04439,                 2.9809,                 3.9006,                 3.1211,             0.00080028,             0.00080028,             0.00080028
                    115,                0.95518,                0.76221,                 1.2002,                0.26144,                0.18016,                 0.1523,                0.05579,                  2.926,                 4.0514,                 3.1399,             0.00079753,             0.00079753,             0.00079753
                    116,                0.96278,                0.76395,                 1.1996,                0.25993,                0.20401,                0.13599,                 0.0531,                 3.0091,                  3.954,                 3.1303,             0.00079478,             0.00079478,             0.00079478
                    117,                0.94783,                 0.7579,                 1.1929,                0.24811,                0.18919,                0.13328,                0.04895,                 2.9282,                 3.8765,                  3.106,             0.00079203,             0.00079203,             0.00079203
                    118,                 0.9633,                0.77408,                 1.2031,                0.27675,                0.19338,                0.13812,                0.04848,                 3.0195,                  3.964,                 3.2068,             0.00078928,             0.00078928,             0.00078928
                    119,                0.93921,                 0.7622,                 1.1932,                0.28201,                0.18509,                0.16043,                0.05773,                 2.9906,                 4.0002,                 3.1784,             0.00078653,             0.00078653,             0.00078653
                    120,                0.95255,                0.76197,                 1.2032,                0.27076,                0.19834,                0.14005,                0.04697,                 2.9304,                 4.0537,                 3.1396,             0.00078378,             0.00078378,             0.00078378
                    121,                0.95292,                0.75403,                 1.2006,                 0.3104,                0.16641,                0.12758,                0.04377,                 2.9543,                 4.1253,                 3.1468,             0.00078103,             0.00078103,             0.00078103
                    122,                0.93333,                0.72893,                 1.1885,                0.33701,                0.17492,                0.14804,                0.04783,                 2.9239,                 3.8009,                 3.1156,             0.00077828,             0.00077828,             0.00077828
                    123,                0.93234,                0.74188,                 1.1837,                0.31468,                0.20465,                0.15303,                0.05199,                 2.9799,                 3.8689,                  3.212,             0.00077553,             0.00077553,             0.00077553
                    124,                0.93553,                0.73916,                  1.182,                0.25511,                0.20971,                0.13992,                0.05075,                 2.9899,                  3.685,                 3.2281,             0.00077278,             0.00077278,             0.00077278
